_id,INTERSECTION_ID,LINEAR_NAME_FULL_1,LINEAR_NAME_FULL_2,ID,X,Y,LONGITUDE,LATITUDE,OBJECTID,geometry,MID_BLOCK,POLICE_DIVISION_2,POLICE_DIVISION_3,ACTIVATION_DATE,SIDE2,CLIENT_STREET_2,CLIENT_STREET_1,SIDE1,MI_PRINX,PRIVATE_ACCESS,TCS,ADDITIONAL_INFO,POLICE_DIVISION_1,WARD_1,WARD_3,WARD_2,WARD_4,NAME,DISTRICT,RLC,MAIN
4777,13466241.0,King St E,Parliament St,100,315831.268,4834763.051,-79.36324499999999,43.652729,100,"{u'type': u'Point', u'coordinates': (-79.3632450108, 43.6527289987)}",,,,2017-03-10T05:00:00,,PARLIAMENT ST,KING ST E,PARLIAMENT ST,100,,245,,51,Toronto Centre(13),,,,King St E And Parliament St,Toronto and East York,6109,KING ST E
4778,13456327.0,Rexdale Blvd,Martin Grove Rd,101,298263.37899999996,4841546.728999999,-79.581117,43.713844,101,"{u'type': u'Point', u'coordinates': (-79.5811170102, 43.7138439993)}",,,,2017-04-11T04:00:00,,MARTIN GROVE RD,REXDALE BLVD,MARTIN GROVE RD,101,,790,,23,Etobicoke North(1),,,,Rexdale Blvd And Martin Grove Rd,Etobicoke York,6110,REXDALE BLVD
4779,13469998.0,The Queensway,The East Mall,102,301064.036,4830721.182,-79.546287,43.616419,102,"{u'type': u'Point', u'coordinates': (-79.5462869918, 43.6164190043)}",,,,2017-10-06T04:00:00,,THE EAST MALL,THE QUEENSWAY,THE EAST MALL,102,,911,,22,Etobicoke-Lakeshore(3),,,,The Queensway And The East Mall,Etobicoke York,6111,THE QUEENSWAY
4780,13460975.0,St Clair Ave W,Spadina Rd,103,311961.711,4838301.274,-79.411169,43.684625,103,"{u'type': u'Point', u'coordinates': (-79.411169006, 43.684625004)}",,53.0,,2017-07-14T04:00:00,,SPADINA RD,ST CLAIR AVE W,SPADINA RD,103,,479,,13,Toronto-St. Paul's(12),,,,St Clair Ave W And Spadina Rd,Toronto and East York,6112,ST CLAIR AVE W
4781,13447779.0,Dufferin St,Finch Ave W,104,307462.67,4847655.237,-79.466927,43.768852,104,"{u'type': u'Point', u'coordinates': (-79.4669269987, 43.7688520058)}",,,,2017-06-05T04:00:00,,FINCH AVE W,DUFFERIN ST,FINCH AVE W,104,,618,,32,York Centre(6),,,,Dufferin St And Finch Ave W,North York,6113,DUFFERIN ST
4782,13469914.0,Islington Ave,Evans Ave,105,303885.712,4830939.502,-79.511328,43.618393,105,"{u'type': u'Point', u'coordinates': (-79.5113280069, 43.6183930021)}",,,,2017-06-05T04:00:00,,EVANS AVE,ISLINGTON AVE,EVANS AVE,105,,775,,22,Etobicoke-Lakeshore(3),,,,Islington Ave And Evans Ave,Etobicoke York,6114,ISLINGTON AVE
4783,13463137.0,Eglinton Ave W,Martin Grove Rd,106,299705.781,4837171.988,-79.563176,43.674477,106,"{u'type': u'Point', u'coordinates': (-79.5631760035, 43.6744770028)}",,22.0,,2017-07-10T04:00:00,,MARTIN GROVE RD,EGLINTON AVE W,MARTIN GROVE RD,106,,786,,23,Etobicoke North(1),,Etobicoke Centre(2),,Eglinton Ave W And Martin Grove Rd,Etobicoke York,6115,EGLINTON AVE W
4784,13442866.0,Finch Ave E,Brimley Rd,107,322710.27,4851773.157,-79.2774,43.805706,107,"{u'type': u'Point', u'coordinates': (-79.2773999905, 43.8057060076)}",,,,2017-03-10T05:00:00,,BRIMLEY RD,FINCH AVE E,BRIMLEY RD,107,,1178,,42,Scarborough North(23),,,,Finch Ave E And Brimley Rd,Scarborough,6116,FINCH AVE E
4785,13468970.0,Lake Shore Blvd W,Jameson Ave,108,310080.13800000004,4832602.151000001,-79.434563,43.633340999999994,108,"{u'type': u'Point', u'coordinates': (-79.4345630019, 43.6333410037)}",,,,2017-07-10T04:00:00,,JAMESON AVE,LAKE SHORE BLVD W,JAMESON AVE,108,,224,,14,Parkdale-High Park(4),,,,Lake Shore Blvd W And Jameson Ave,Toronto and East York,6117,LAKE SHORE BLVD W
4786,13452053.0,Eglinton Ave E,Danforth Rd,109,325246.86199999996,4844158.155,-79.24616400000001,43.737097,109,"{u'type': u'Point', u'coordinates': (-79.2461639921, 43.7370970035)}",,,,2017-03-10T05:00:00,,DANFORTH RD,EGLINTON AVE E,DANFORTH RD,109,,379,,43,Scarborough Centre(21),,Scarborough Southwest(20),,Eglinton Ave E And Danforth Rd,Scarborough,6118,EGLINTON AVE E
