,Neighbourhood,Hood_ID,Assault Rate,Auto Theft Rate,Break&Enter Rate,Homicide Rate,Robberey Rate,Theft Over Rate,Total Average Rate,Median_Income,Average_Income,Number of Starbucks Stores,Number of Red Lights,Neighbourhood_x,"Population, 2016",Home Prices,Social Housing as a Percentage of Households,Social Housing Waitlist as a Percentage of Social Housing,Census Residents per Private dwellings,Percentage of Housing Single-detached,Percentage of Housing Apartments,Percentage of Housing Attached,Percentage of 1-person Households,Percentage of 2-person Households,Percentage of 3-person or More Households,Percentage of Households with Income < 10k,Percentage of Households with Income < 20k,Percentage of Households with Income < 30k,Percentage of Households with Income > 150k,Percentage of Households with Income > 200k,Percentage of Unsuitable Housing,Percentage of Dwellings Built in 1960 or Before,Percentage of Dwellings Built in 1990 or Before,Percentage of Dwellings Built in 2005 or Before,Percentage of Dwellings Built in 1991 or After,Percentage of Dwellings Built in 2006 or After,Percentage of Dwellings Requiring Only Regular Maintenance or Minor Repairs,Percentage of Households with Maintainer aged 34 and under,Percentage of Households with Maintainer aged 65 and older,Percentage of Households Spending over 30% of Income on Shelter,Speeding,Income Group
92,Parkwoods-Donalda,45,454.0,91.9,195.4,2.9,103.4,14.4,143.67,59027.0,79219.0,0.0,,Parkwoods-Donalda,34805.0,553698.0,5.646146110193232,0.9058524173027991,2.5001795847999424,19.18888471648517,59.29402929027413,21.517085993240705,25.33783783783784,29.204204204204203,45.457957957957966,3.983464862833521,10.259301014656144,19.203307027433297,13.378429161969185,6.689214580984593,0.1453794139744553,29.23076923076923,89.9812382739212,96.9606003752345,10.093808630393996,3.1144465290806758,91.46937241638479,13.786626596543954,25.507137490608567,37.14177978883861,5.0,75-100K
93,Pelmo Park-Humberlea,23,736.8,671.5,205.2,9.3,74.6,65.3,293.78,67412.0,79193.0,0.0,,Pelmo Park-Humberlea,10722.0,412618.0,4.55958549222798,0.8465909090909091,2.777720207253886,48.38274932614554,20.889487870619945,30.458221024258762,20.21563342318059,26.81940700808625,52.96495956873316,2.4226110363391657,5.921938088829071,12.11305518169583,14.670255720053834,5.114401076716017,0.09973045822102426,33.82749326145552,65.36388140161725,78.30188679245283,34.90566037735849,21.967654986522913,95.28301886792453,11.17092866756393,25.302826379542395,31.44399460188934,16.0,75-100K
94,Playter Estates-Danforth,67,1012.3,115.3,448.5,0.0,128.1,76.9,296.85,62185.0,104631.0,2.0,,Playter Estates-Danforth,7804.0,842668.0,5.096894080169896,0.5364583333333334,2.071675073002389,17.622377622377623,58.6013986013986,23.916083916083924,40.55944055944056,29.51048951048951,29.930069930069926,4.329608938547486,14.106145251396649,21.927374301675982,25.558659217877093,17.597765363128488,0.04755244755244755,64.24581005586592,95.1117318435754,98.74301675977655,5.027932960893856,1.3966480446927374,92.30769230769229,20.27972027972028,22.237762237762237,37.39495798319329,5.0,100-125K
95,Willowridge-Martingrove-Richview,7,455.9,189.6,176.0,4.5,144.4,13.5,163.98,63701.0,81035.0,0.0,2.0,Willowridge-Martingrove-Richview,22156.0,511637.0,6.432748538011697,0.5632798573975044,2.5405343423919278,42.32804232804233,44.3856554967666,13.286302175191064,25.4406580493537,30.55229142185664,43.889541715628674,2.056404230317274,7.344300822561692,16.274970622796708,16.62749706227967,7.6968272620446525,0.1110458284371328,27.1873165002936,90.01761597181446,94.30416911332944,10.099823840281855,5.813270698766883,93.30199764982372,9.518213866039954,37.837837837837846,31.08108108108108,22.0,75-100K
96,Woburn,137,798.4,112.2,187.0,0.0,125.3,15.0,206.32,52018.0,63651.0,0.0,6.0,Woburn,53485.0,316584.0,13.928160016755678,0.4909774436090226,2.800555031940517,34.22836994846759,53.268239761323564,12.394901003525904,22.878828950935212,26.321496340471672,50.79967470859312,4.825155868799133,14.882081865004064,24.559501219842772,6.966657630794253,2.331255082678233,0.1918068366793272,32.592190889370926,77.81995661605207,95.25488069414317,22.234273318872017,4.799349240780911,91.97179278546244,16.39566395663957,25.121951219512194,35.82858692704095,52.0,50-75K
97,Woodbine-Lumsden,60,381.4,89.0,127.1,12.7,38.1,50.9,116.53,65259.0,75872.0,0.0,,Woodbine-Lumsden,7865.0,440700.0,5.577136514983351,0.6666666666666666,2.182297447280799,54.716981132075475,26.995645863570388,18.432510885341074,31.98263386396527,33.28509406657019,34.73227206946454,3.4732272069464543,12.15629522431259,20.40520984081042,16.642547033285094,6.078147612156295,0.06231884057971015,72.02898550724638,92.02898550724638,96.23188405797102,7.681159420289855,3.4782608695652173,87.97101449275362,13.768115942028984,21.30434782608696,31.88405797101449,10.0,75-100K
98,Bayview Village,52,308.5,172.9,172.9,0.0,65.4,60.8,130.08,67186.0,96809.0,3.0,1.0,Bayview Village,21396.0,533089.0,1.2066066660073187,1.459016393442623,2.1161111660567697,21.237545883586787,67.33088620870478,11.326691137912952,33.52570828961175,34.20776495278069,32.3189926547744,8.866736621196223,15.372507869884574,23.08499475341028,15.949632738719833,8.971668415529905,0.11490031479538301,15.47743966421826,41.9202518363064,58.76180482686254,57.97481636935992,41.133263378803775,96.37985309548792,26.60020986358867,22.560335781741863,45.49763033175356,8.0,75-100K
99,Bedford Park-Nortown,39,266.8,284.0,383.0,0.0,64.6,77.5,179.32,90934.0,176139.0,2.0,1.0,Bedford Park-Nortown,23236.0,1191040.0,2.6071586389748123,0.597457627118644,2.5669465311533357,55.98141695702671,37.804878048780495,6.2717770034843205,27.75842044134727,28.04878048780488,44.3089430894309,2.6147588611272514,7.437536316095294,12.608948285880304,42.068564787914006,33.87565368971528,0.07084785133565621,34.068485200232146,63.43586767266397,86.07080673244343,36.68020893789901,14.045269878119562,94.48315911730545,8.604651162790697,30.63953488372093,27.0081490104773,,175-200K
100,Rockcliffe-Smythe,111,678.8,161.8,193.3,4.5,49.4,40.5,188.05,49695.0,61303.0,1.0,1.0,Rockcliffe-Smythe,22246.0,353967.0,13.197006429851374,0.4504792332268371,2.3448930114894067,30.501930501930502,50.02757859900717,19.415333701047988,32.94701986754967,27.428256070640177,39.624724061810156,4.633204633204633,16.050744622173195,26.916712630998344,6.343077771649201,1.8201875344732488,0.14411927112092768,46.96132596685082,92.3204419889503,98.39779005524862,7.734806629834254,1.6574585635359116,90.06073992269465,14.743235781336276,28.87907233572612,35.23230088495576,20.0,50-75K
101,Bridle Path-Sunnybrook-York Mills,41,474.9,118.7,550.4,0.0,140.3,32.4,219.45,208674.0,481497.0,0.0,,Bridle Path-Sunnybrook-York Mills,9266.0,1849084.0,0.0,inf,2.6641748131109835,70.10785824345146,20.647149460708786,9.244992295839754,19.290123456790127,31.17283950617284,49.69135802469136,3.2407407407407414,5.401234567901233,7.716049382716049,61.41975308641975,52.62345679012346,0.016975308641975308,26.69753086419753,45.06172839506172,67.12962962962963,54.47530864197532,32.407407407407405,97.06790123456791,5.092592592592593,30.709876543209877,22.839506172839503,5.0,250K+
